mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__alpha,param_preprocess__text__ufs__percentile,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
27.9927206,0.531326078,6.365953541,0.191050317,0.005,1,"{'clf__alpha': 0.005, 'preprocess__text__ufs__percentile': 1}",0.630312751,0.609120521,0.661893397,0.657686212,0.65664557,0.64313169,0.020334923,82
27.94621229,0.251395955,6.42576313,0.148131557,0.005,2,"{'clf__alpha': 0.005, 'preprocess__text__ufs__percentile': 2}",0.652173913,0.640563821,0.675384615,0.673312883,0.671698113,0.662626669,0.013822307,29
27.72843752,0.33389794,6.465923834,0.086404754,0.005,5,"{'clf__alpha': 0.005, 'preprocess__text__ufs__percentile': 5}",0.665245203,0.649161196,0.663345196,0.676427526,0.684989429,0.66783371,0.012195756,7
27.69002805,0.317591404,6.503663015,0.238897828,0.005,10,"{'clf__alpha': 0.005, 'preprocess__text__ufs__percentile': 10}",0.66026081,0.631288766,0.667123288,0.657024793,0.66398929,0.65593739,0.012785824,54
27.75842547,0.275446114,6.523497868,0.290791496,0.005,15,"{'clf__alpha': 0.005, 'preprocess__text__ufs__percentile': 15}",0.658536585,0.631008802,0.660377358,0.650879567,0.66577361,0.653315185,0.012131419,63
27.54369521,0.319678889,6.534218025,0.137614061,0.005,20,"{'clf__alpha': 0.005, 'preprocess__text__ufs__percentile': 20}",0.649898029,0.63277592,0.667562122,0.649051491,0.660427807,0.651943074,0.011797192,67
28.15241146,0.419867572,6.52954073,0.20667601,0.005,50,"{'clf__alpha': 0.005, 'preprocess__text__ufs__percentile': 50}",0.623082055,0.625758597,0.656776804,0.61634349,0.62815405,0.630022999,0.013948117,93
27.79645095,0.244061495,6.48342185,0.18093971,0,1,"{'clf__alpha': 0, 'preprocess__text__ufs__percentile': 1}",0.629807692,0.609120521,0.661893397,0.658227848,0.65664557,0.643139006,0.020478324,81
27.73619118,0.203153847,6.573238087,0.337619282,0,2,"{'clf__alpha': 0, 'preprocess__text__ufs__percentile': 2}",0.652173913,0.639562158,0.673312883,0.672268908,0.673192771,0.662102127,0.013846779,34
27.60973754,0.250407906,6.633012533,0.072870221,0,5,"{'clf__alpha': 0, 'preprocess__text__ufs__percentile': 5}",0.664305949,0.647314949,0.660524451,0.675400291,0.685874912,0.66668411,0.013137885,14
27.91603999,0.355808581,6.509666157,0.24700843,0,10,"{'clf__alpha': 0, 'preprocess__text__ufs__percentile': 10}",0.658002736,0.628689087,0.664846416,0.65569273,0.664,0.654246194,0.013242894,59
27.81986909,0.500791871,6.574267101,0.334004735,0,15,"{'clf__alpha': 0, 'preprocess__text__ufs__percentile': 15}",0.653612424,0.627530364,0.656816655,0.648648649,0.663087248,0.649939068,0.012144831,71
28.06370249,0.220423257,6.515391445,0.204809833,0,20,"{'clf__alpha': 0, 'preprocess__text__ufs__percentile': 20}",0.641689373,0.625503356,0.659959759,0.641791045,0.652320108,0.644252728,0.011627236,74
27.84015193,0.203100977,6.406887531,0.120907431,0,50,"{'clf__alpha': 0, 'preprocess__text__ufs__percentile': 50}",0.597669637,0.597637248,0.617749825,0.595988539,0.584316447,0.598672339,0.01076403,96
28.46565847,0.473638377,6.605812979,0.215113779,2,1,"{'clf__alpha': 2, 'preprocess__text__ufs__percentile': 1}",0.625941423,0.601908066,0.654822335,0.665551839,0.657214345,0.641087602,0.023713525,88
27.79624162,0.334786286,6.589409447,0.295734873,2,2,"{'clf__alpha': 2, 'preprocess__text__ufs__percentile': 2}",0.64691358,0.633019675,0.663920923,0.675020886,0.663406683,0.656456349,0.014758124,48
27.72738423,0.401592522,6.656668234,0.163677975,2,5,"{'clf__alpha': 2, 'preprocess__text__ufs__percentile': 5}",0.66122449,0.647793505,0.662389735,0.674437968,0.673000792,0.663769298,0.009619212,21
28.05588169,0.482589811,6.588640404,0.276963131,2,10,"{'clf__alpha': 2, 'preprocess__text__ufs__percentile': 10}",0.646076795,0.646310433,0.658516707,0.673366834,0.670463792,0.658946912,0.011541909,43
27.65469141,0.28900097,6.609978104,0.341109971,2,15,"{'clf__alpha': 2, 'preprocess__text__ufs__percentile': 15}",0.646808511,0.640893471,0.655518395,0.662162162,0.674979219,0.656072351,0.01192543,52
27.65852146,0.238679914,6.550813723,0.285833422,2,20,"{'clf__alpha': 2, 'preprocess__text__ufs__percentile': 20}",0.648788927,0.64229765,0.649616368,0.656845754,0.661045531,0.651718846,0.006557988,68
25.84030633,1.426145084,5.308873606,0.983598726,2,50,"{'clf__alpha': 2, 'preprocess__text__ufs__percentile': 50}",0.596630327,0.569430569,0.591408591,0.592369478,0.605108055,0.590989404,0.011815414,97
